name,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Rock Me Baby - Live,Sticky Fingers Live At The Fonda Theatre,29/9/2017,14,0.239,0.393,0.913,0.00158,0.773,-3.203,0.0574,100.689,0.444,20,271480
Jumpin’ Jack Flash - Live,Sticky Fingers Live At The Fonda Theatre,29/9/2017,15,0.000825,0.273,0.974,0.223,0.904,-3.278,0.0672,137.997,0.456,19,287440
I Can’t Turn You Loose - Live,Sticky Fingers Live At The Fonda Theatre,29/9/2017,16,0.024,0.407,0.966,0.0525,0.947,-2.822,0.0594,141.578,0.53,15,324666
Intro - Live,Ladies & Gentlemen (Live),16/6/2017,1,0.247,0.165,0.997,0.0,0.913,-10.224,0.132,127.786,0.0249,17,48000
Brown Sugar - Live,Ladies & Gentlemen (Live),16/6/2017,2,0.0251,0.384,0.86,2.98e-05,0.516,-4.426,0.0339,138.518,0.794,24,193733
Bitch - Live,Ladies & Gentlemen (Live),16/6/2017,3,0.00537,0.404,0.871,0.0,0.63,-5.118,0.0411,142.464,0.828,22,285866
Gimme Shelter - Live,Ladies & Gentlemen (Live),16/6/2017,4,0.0111,0.394,0.866,9.93e-05,0.816,-5.711,0.0371,132.926,0.437,25,290493
Dead Flowers - Live,Ladies & Gentlemen (Live),16/6/2017,5,0.0161,0.45,0.785,0.000598,0.504,-7.036,0.0318,138.648,0.57,25,243053
Happy - Live,Ladies & Gentlemen (Live),16/6/2017,6,0.0211,0.356,0.816,0.000107,0.644,-5.552,0.0491,71.211,0.546,22,194600
Tumbling Dice - Live,Ladies & Gentlemen (Live),16/6/2017,7,0.344,0.451,0.726,0.0144,0.223,-6.991,0.0436,111.422,0.412,23,321000
Love In Vain - Live,Ladies & Gentlemen (Live),16/6/2017,8,0.407,0.299,0.446,0.0147,0.613,-8.859,0.0291,125.708,0.346,22,377666
Sweet Virginia - Live,Ladies & Gentlemen (Live),16/6/2017,9,0.0812,0.404,0.706,1.86e-06,0.77,-6.276,0.0378,112.202,0.567,24,285173
You Can’t Always Get What You Want - Live,Ladies & Gentlemen (Live),16/6/2017,10,0.052,0.361,0.677,2.59e-05,0.313,-5.996,0.0316,144.788,0.169,26,446906
All Down The Line - Live,Ladies & Gentlemen (Live),16/6/2017,11,0.0682,0.311,0.893,0.616,0.385,-5.124,0.0548,148.583,0.423,21,286933
Midnight Rambler - Live,Ladies & Gentlemen (Live),16/6/2017,12,0.0821,0.22,0.8,4.33e-05,0.953,-4.682,0.0628,77.862,0.429,14,721760
Bye Bye Johnny - Live,Ladies & Gentlemen (Live),16/6/2017,13,0.00523,0.367,0.872,1.31e-05,0.9,-5.331,0.0725,76.626,0.616,21,271853
Rip This Joint - Live,Ladies & Gentlemen (Live),16/6/2017,14,0.00475,0.396,0.866,0.412,0.732,-5.595,0.0416,99.532,0.804,17,152733
Jumpin' Jack Flash - Live,Ladies & Gentlemen (Live),16/6/2017,15,0.000362,0.275,0.812,0.00647,0.974,-4.521,0.0352,147.951,0.428,20,218880
Street Fighting Man - Live,Ladies & Gentlemen (Live),16/6/2017,16,0.00887,0.247,0.903,4.25e-05,0.607,-4.885,0.0487,74.483,0.296,20,254760
Just Your Fool,Blue & Lonesome,2/12/2016,1,0.329,0.547,0.903,0.216,0.388,-3.832,0.0579,116.152,0.842,42,136426
Commit A Crime,Blue & Lonesome,2/12/2016,2,0.23,0.563,0.802,0.667,0.534,-4.496,0.0311,124.123,0.777,33,218306
Blue And Lonesome,Blue & Lonesome,2/12/2016,3,0.697,0.341,0.833,0.0674,0.355,-3.986,0.0551,57.772,0.594,35,187306
All Of Your Love,Blue & Lonesome,2/12/2016,4,0.459,0.429,0.683,0.462,0.272,-5.046,0.0327,75.68,0.277,33,286680
I Gotta Go,Blue & Lonesome,2/12/2016,5,0.469,0.579,0.872,0.00286,0.087,-3.102,0.0795,120.033,0.505,34,206173
Everybody Knows About My Good Thing,Blue & Lonesome,2/12/2016,6,0.248,0.28,0.84,0.228,0.366,-3.497,0.0728,199.771,0.476,31,270826
Ride 'Em On Down,Blue & Lonesome,2/12/2016,7,0.14,0.508,0.949,0.0149,0.376,-4.203,0.0866,116.004,0.726,43,168986
Hate To See You Go,Blue & Lonesome,2/12/2016,8,0.399,0.418,0.828,0.669,0.146,-5.173,0.122,184.436,0.376,41,200786
Hoo Doo Blues,Blue & Lonesome,2/12/2016,9,0.358,0.461,0.74,0.138,0.301,-4.961,0.0387,70.003,0.597,31,156840
Little Rain,Blue & Lonesome,2/12/2016,10,0.844,0.432,0.384,0.0471,0.102,-6.894,0.0279,94.38,0.168,31,212213
Just Like I Treat You,Blue & Lonesome,2/12/2016,11,0.303,0.59,0.905,0.00802,0.176,-3.631,0.0424,107.307,0.626,30,204653
I Can't Quit You Baby,Blue & Lonesome,2/12/2016,12,0.226,0.328,0.711,0.0172,0.0669,-5.037,0.0455,182.5,0.17,35,313040
Jumpin' Jack Flash - Live,Havana Moon (Live),11/11/2016,1,0.0776,0.316,0.969,0.421,0.921,-3.911,0.0757,129.598,0.252,28,286051
It's Only Rock 'N Roll (But I Like It) - Live,Havana Moon (Live),11/11/2016,2,0.177,0.496,0.964,0.00984,0.848,-4.747,0.0671,129.723,0.574,26,275410
Tumbling Dice - Live,Havana Moon (Live),11/11/2016,3,0.159,0.404,0.932,0.0188,0.964,-5.215,0.0687,119.163,0.441,22,303274
Out Of Control - Live,Havana Moon (Live),11/11/2016,4,0.43,0.476,0.787,0.0193,0.953,-5.697,0.0533,118.915,0.501,29,433285
All Down The Line - Live,Havana Moon (Live),11/11/2016,5,0.0507,0.38,0.944,0.234,0.985,-4.43,0.0721,132.361,0.524,20,322749
Angie - Live,Havana Moon (Live),11/11/2016,6,0.238,0.318,0.69,0.000154,0.735,-6.217,0.0305,157.003,0.417,26,209799
Paint It Black - Live,Havana Moon (Live),11/11/2016,7,0.000278,0.293,0.938,0.159,0.968,-4.385,0.0625,137.09,0.397,28,332472
Honky Tonk Women - Live,Havana Moon (Live),11/11/2016,8,0.0172,0.476,0.975,0.0436,0.872,-4.198,0.0757,116.957,0.522,25,297110
You Got The Silver - Live,Havana Moon (Live),11/11/2016,9,0.613,0.27,0.702,0.0,0.941,-8.098,0.0435,82.765,0.395,23,209367
Before They Make Me Run - Live,Havana Moon (Live),11/11/2016,10,0.102,0.39,0.937,0.000164,0.94,-4.608,0.0602,127.861,0.655,20,242209
Midnight Rambler - Live,Havana Moon (Live),11/11/2016,11,0.185,0.281,0.9,0.145,0.918,-5.72,0.0804,129.685,0.342,22,929457
Miss You - Live,Havana Moon (Live),11/11/2016,12,0.185,0.476,0.884,0.0606,0.589,-5.513,0.0455,115.307,0.638,22,500551
Gimme Shelter - Live,Havana Moon (Live),11/11/2016,13,0.0453,0.457,0.872,0.0335,0.678,-4.21,0.0339,114.645,0.241,30,484999
Start Me Up - Live,Havana Moon (Live),11/11/2016,14,0.0989,0.457,0.958,0.0405,0.979,-3.563,0.0455,120.624,0.783,22,261952
Sympathy For The Devil - Live,Havana Moon (Live),11/11/2016,15,0.405,0.614,0.929,0.109,0.954,-5.471,0.0446,107.978,0.551,27,475217
Brown Sugar - Live,Havana Moon (Live),11/11/2016,16,0.00207,0.438,0.97,0.598,0.909,-4.286,0.0915,126.516,0.42,21,433033
You Can’t Always Get What You Want - Live,Havana Moon (Live),11/11/2016,17,0.549,0.221,0.808,0.00206,0.815,-5.817,0.0579,174.927,0.344,26,537562
(I Can't Get No) Satisfaction - Live,Havana Moon (Live),11/11/2016,18,0.0149,0.341,0.974,0.633,0.345,-4.155,0.0848,131.156,0.321,28,628947
Honky Tonk Women - Live,Totally Stripped - Brixton (Live),6/6/2016,1,0.0016,0.401,0.984,0.000855,0.97,-5.83,0.102,115.993,0.466,17,283400
Tumbling Dice - Live,Totally Stripped - Brixton (Live),6/6/2016,2,0.0039,0.37,0.957,9.44e-05,0.964,-5.741,0.101,119.247,0.365,15,281240
You Got Me Rockin’ - Live,Totally Stripped - Brixton (Live),6/6/2016,3,0.00159,0.375,0.96,0.0033,0.957,-5.768,0.0851,130.443,0.417,13,206040
Live With Me - Live,Totally Stripped - Brixton (Live),6/6/2016,4,0.00228,0.342,0.982,0.000335,0.525,-5.73,0.0827,142.456,0.384,11,252240
Black Limousine - Live,Totally Stripped - Brixton (Live),6/6/2016,5,0.0528,0.356,0.936,0.00397,0.965,-6.378,0.137,118.515,0.417,14,239266
Dead Flowers - Live,Totally Stripped - Brixton (Live),6/6/2016,6,0.351,0.456,0.958,0.0,0.895,-6.413,0.0671,136.371,0.539,15,258213
Sweet Virginia - Live,Totally Stripped - Brixton (Live),6/6/2016,7,0.351,0.385,0.901,2.88e-06,0.86,-7.095,0.0886,115.651,0.32,14,266213
Faraway Eyes - Live,Totally Stripped - Brixton (Live),6/6/2016,8,0.514,0.385,0.73,1.94e-06,0.815,-8.582,0.0418,107.128,0.482,15,296120
Love In Vain - Live,Totally Stripped - Brixton (Live),6/6/2016,9,0.576,0.316,0.62,0.000535,0.895,-9.47,0.0354,173.292,0.355,12,311826
Down In The Bottom - Live,Totally Stripped - Brixton (Live),6/6/2016,10,0.145,0.489,0.957,0.000587,0.945,-6.391,0.0628,119.84,0.7,12,208000
Shine A Light - Live,Totally Stripped - Brixton (Live),6/6/2016,11,0.352,0.272,0.824,6.17e-05,0.768,-6.699,0.0494,84.185,0.414,14,281320
Like A Rolling Stone - Live,Totally Stripped - Brixton (Live),6/6/2016,12,0.018,0.123,0.936,0.000203,0.971,-5.012,0.0753,204.066,0.449,19,352680
Monkey Man - Live,Totally Stripped - Brixton (Live),6/6/2016,13,0.0654,0.493,0.927,0.0586,0.606,-5.094,0.0501,107.904,0.286,13,263413
I Go Wild - Live,Totally Stripped - Brixton (Live),6/6/2016,14,0.00428,0.415,0.957,0.000133,0.895,-5.422,0.0988,113.367,0.373,10,397626
Miss You - Live,Totally Stripped - Brixton (Live),6/6/2016,15,0.198,0.458,0.93,0.00806,0.811,-6.973,0.0929,116.199,0.465,14,831960
Connection - Live,Totally Stripped - Brixton (Live),6/6/2016,16,0.129,0.248,0.945,0.0,0.889,-5.967,0.132,159.571,0.381,11,213626
Slipping Away - Live,Totally Stripped - Brixton (Live),6/6/2016,17,0.167,0.438,0.839,1.99e-06,0.901,-6.812,0.0374,104.953,0.564,11,350293
Midnight Rambler - Live,Totally Stripped - Brixton (Live),6/6/2016,18,0.482,0.302,0.905,0.0077,0.961,-6.156,0.0698,144.478,0.364,12,574946
Rip This Joint - Live,Totally Stripped - Brixton (Live),6/6/2016,19,0.116,0.426,0.991,2.6e-05,0.972,-4.112,0.114,103.58,0.376,9,139440
Start Me Up - Live,Totally Stripped - Brixton (Live),6/6/2016,20,0.0597,0.423,0.973,0.00145,0.983,-4.911,0.0616,134.512,0.73,11,244786
Brown Sugar - Live,Totally Stripped - Brixton (Live),6/6/2016,21,0.00553,0.377,0.973,0.00604,0.977,-4.874,0.129,139.801,0.393,10,321720
Jumpin’ Jack Flash - Live,Totally Stripped - Brixton (Live),6/6/2016,22,0.00143,0.274,0.978,0.125,0.948,-4.906,0.0913,142.601,0.358,11,338813
Not Fade Away - Live,Totally Stripped - Amsterdam (Live),3/6/2016,1,0.186,0.305,0.883,0.000641,0.971,-7.689,0.0965,105.933,0.665,14,202480
It's All Over Now - Live,Totally Stripped - Amsterdam (Live),3/6/2016,2,0.0197,0.182,0.972,0.000106,0.865,-5.927,0.191,190.049,0.173,16,229853
Live With Me - Live,Totally Stripped - Amsterdam (Live),3/6/2016,3,0.0344,0.334,0.979,0.000308,0.96,-5.366,0.15,144.285,0.168,12,259680
Let It Bleed - Live,Totally Stripped - Amsterdam (Live),3/6/2016,4,0.218,0.475,0.897,1.46e-06,0.821,-6.677,0.0519,124.066,0.749,14,306466
The Spider And The Fly - Live,Totally Stripped - Amsterdam (Live),3/6/2016,5,0.274,0.412,0.853,9.25e-05,0.708,-6.793,0.0607,107.327,0.527,15,223480
Beast Of Burden - Live,Totally Stripped - Amsterdam (Live),3/6/2016,6,0.365,0.597,0.893,0.000209,0.918,-6.658,0.036,107.473,0.649,17,304600
Angie - Live,Totally Stripped - Amsterdam (Live),3/6/2016,7,0.568,0.306,0.724,7.57e-06,0.714,-8.128,0.0574,75.019,0.381,25,249333
Wild Horses - Live,Totally Stripped - Amsterdam (Live),3/6/2016,8,0.458,0.388,0.602,4.43e-05,0.772,-9.214,0.0325,74.899,0.245,16,320200
Sweet Virginia - Live,Totally Stripped - Amsterdam (Live),3/6/2016,9,0.303,0.373,0.867,8.41e-06,0.778,-6.613,0.0852,110.262,0.312,14,280440
Dead Flowers - Live,Totally Stripped - Amsterdam (Live),3/6/2016,10,0.294,0.439,0.927,1.22e-05,0.946,-6.678,0.0816,137.863,0.74,14,289226
Shine A Light - Live,Totally Stripped - Amsterdam (Live),3/6/2016,11,0.443,0.294,0.814,1.81e-05,0.696,-6.652,0.0671,80.387,0.348,13,305800
Like A Rolling Stone - Live,Totally Stripped - Amsterdam (Live),3/6/2016,12,0.0563,0.175,0.882,0.0,0.786,-6.051,0.0574,203.954,0.385,14,359200
Connection - Live,Totally Stripped - Amsterdam (Live),3/6/2016,13,0.542,0.224,0.881,1.03e-05,0.943,-7.272,0.263,167.237,0.154,13,386186
Slipping Away - Live,Totally Stripped - Amsterdam (Live),3/6/2016,14,0.0699,0.204,0.805,0.0,0.972,-6.613,0.0649,200.367,0.529,11,351533
The Worst - Live,Totally Stripped - Amsterdam (Live),3/6/2016,15,0.288,0.42,0.67,0.0,0.921,-8.851,0.048,75.755,0.288,10,151120
Gimme Shelter - Live,Totally Stripped - Amsterdam (Live),3/6/2016,16,0.0186,0.4,0.965,0.000147,0.819,-4.962,0.0493,108.806,0.212,19,404066
All Down The Line - Live,Totally Stripped - Amsterdam (Live),3/6/2016,17,0.0125,0.21,0.962,0.0132,0.958,-5.025,0.0888,153.486,0.452,12,266706
Respectable - Live,Totally Stripped - Amsterdam (Live),3/6/2016,18,0.0826,0.301,0.972,0.000751,0.939,-6.109,0.0665,160.848,0.366,11,171106
Rip This Joint - Live,Totally Stripped - Amsterdam (Live),3/6/2016,19,0.0986,0.203,0.97,6.51e-06,0.948,-5.085,0.153,213.254,0.473,9,176800
Street Fighting Man - Live,Totally Stripped - Amsterdam (Live),3/6/2016,20,0.343,0.419,0.955,0.0309,0.968,-6.293,0.0609,127.869,0.442,11,277360
Not Fade Away - Live,Totally Stripped (Live),3/6/2016,1,0.139,0.304,0.881,0.00121,0.967,-7.638,0.111,132.722,0.675,25,191760
Honky Tonk Woman - Live,Totally Stripped (Live),3/6/2016,2,0.00317,0.356,0.962,0.000116,0.966,-5.618,0.109,114.33,0.471,29,293746
Dead Flowers - Live,Totally Stripped (Live),3/6/2016,3,0.17,0.443,0.957,5.79e-06,0.924,-6.035,0.062,138.067,0.727,23,240306
Faraway Eyes - Live,Totally Stripped (Live),3/6/2016,4,0.496,0.403,0.734,1.15e-06,0.964,-8.656,0.041,108.04,0.467,24,305253
Shine A Light - Live,Totally Stripped (Live),3/6/2016,5,0.4,0.26,0.834,3.3e-05,0.755,-6.425,0.0703,78.94,0.49,23,291226
I Go Wild - Live,Totally Stripped (Live),3/6/2016,6,0.0296,0.421,0.943,1.12e-05,0.979,-5.353,0.0795,112.146,0.406,16,409333
Miss You - Live,Totally Stripped (Live),3/6/2016,7,0.09,0.531,0.916,0.0155,0.964,-6.405,0.0469,116.173,0.663,23,579253
Like A Rolling Stone - Live,Totally Stripped (Live),3/6/2016,8,0.0784,0.181,0.873,0.0,0.764,-6.143,0.0638,203.238,0.367,34,370786
Brown Sugar - Live,Totally Stripped (Live),3/6/2016,9,0.000665,0.348,0.973,0.000318,0.98,-4.957,0.101,140.667,0.344,19,312733
Midnight Rambler - Live,Totally Stripped (Live),3/6/2016,10,0.512,0.338,0.889,0.0143,0.958,-6.131,0.059,126.278,0.419,23,549773
Jumpin’ Jack Flash - Live,Totally Stripped (Live),3/6/2016,11,0.000541,0.311,0.972,0.00185,0.97,-5.126,0.0823,141.745,0.399,20,303600
Gimme Shelter - Live,Totally Stripped (Live),3/6/2016,12,0.0239,0.407,0.958,0.000141,0.888,-5.106,0.0636,109.382,0.23,25,418746
Rip This Joint - Live,Totally Stripped (Live),3/6/2016,13,0.0896,0.38,0.97,4.93e-06,0.942,-5.146,0.101,105.544,0.417,16,176133
Street Fighting Man - Live,Totally Stripped (Live),3/6/2016,14,0.339,0.428,0.952,0.0163,0.952,-6.505,0.0589,127.876,0.431,21,291253
Honky Tonk Women - Live,Totally Stripped - Paris (Live),20/5/2016,1,0.0123,0.317,0.966,0.00082,0.979,-6.203,0.12,114.845,0.271,13,370786
Tumbling Dice - Live,Totally Stripped - Paris (Live),20/5/2016,2,0.0634,0.372,0.931,5.89e-06,0.951,-5.175,0.126,117.074,0.391,13,271760
You Got Me Rockin’ - Live,Totally Stripped - Paris (Live),20/5/2016,3,0.0018,0.368,0.917,9.55e-06,0.839,-5.61,0.125,131.52,0.274,11,238693
All Down The Line - Live,Totally Stripped - Paris (Live),20/5/2016,4,0.0229,0.172,0.969,0.000391,0.879,-4.925,0.154,154.37,0.179,11,318800
Shattered - Live,Totally Stripped - Paris (Live),20/5/2016,5,0.0108,0.262,0.964,0.0,0.937,-5.775,0.191,149.416,0.395,10,291546
Beast Of Burden - Live,Totally Stripped - Paris (Live),20/5/2016,6,0.27,0.527,0.886,1.42e-05,0.966,-6.401,0.0693,111.124,0.539,13,354813
Let It Bleed - Live,Totally Stripped - Paris (Live),20/5/2016,7,0.298,0.519,0.947,4.91e-06,0.95,-5.926,0.0703,122.31,0.643,11,332160
Angie - Live,Totally Stripped - Paris (Live),20/5/2016,8,0.563,0.375,0.711,1.86e-06,0.887,-7.894,0.0405,78.092,0.401,12,233626
Wild Horses - Live,Totally Stripped - Paris (Live),20/5/2016,9,0.56,0.411,0.614,1.26e-06,0.909,-8.697,0.0337,77.019,0.373,13,358026
Down In The Bottom - Live,Totally Stripped - Paris (Live),20/5/2016,10,0.182,0.423,0.916,0.000182,0.913,-7.606,0.095,121.704,0.552,9,239173
Shine A Light - Live,Totally Stripped - Paris (Live),20/5/2016,11,0.507,0.311,0.741,1.69e-06,0.75,-8.602,0.0569,82.32,0.464,10,328066
Like A Rolling Stone - Live,Totally Stripped - Paris (Live),20/5/2016,12,0.0406,0.356,0.895,1.44e-06,0.134,-7.103,0.069,105.294,0.511,13,380293
I Go Wild - Live,Totally Stripped - Paris (Live),20/5/2016,13,0.0335,0.422,0.948,1.4e-05,0.85,-5.595,0.0836,112.103,0.382,13,411613
Miss You - Live,Totally Stripped - Paris (Live),20/5/2016,14,0.154,0.407,0.908,0.000859,0.917,-6.806,0.118,115.842,0.454,11,907373
Connection - Live,Totally Stripped - Paris (Live),20/5/2016,15,0.0481,0.218,0.932,0.0,0.724,-6.556,0.183,162.855,0.289,8,241920
Slipping Away - Live,Totally Stripped - Paris (Live),20/5/2016,16,0.229,0.447,0.8,6.55e-06,0.954,-7.201,0.0511,103.926,0.624,8,362120
Midnight Rambler - Live,Totally Stripped - Paris (Live),20/5/2016,17,0.101,0.282,0.896,0.000432,0.948,-6.55,0.108,144.508,0.332,11,612040
Rip This Joint - Live,Totally Stripped - Paris (Live),20/5/2016,18,0.1,0.442,0.99,8.73e-06,0.982,-4.939,0.142,105.699,0.218,7,149640
Start Me Up - Live,Totally Stripped - Paris (Live),20/5/2016,19,0.00446,0.48,0.955,1.13e-05,0.985,-5.723,0.074,130.359,0.658,10,265640
It's Only Rock N Roll (But I Like It) - Live,Totally Stripped - Paris (Live),20/5/2016,20,0.012,0.394,0.963,0.0,0.925,-5.732,0.0963,140.419,0.646,13,304826
Brown Sugar - Live,Totally Stripped - Paris (Live),20/5/2016,21,0.013,0.268,0.962,0.00999,0.969,-5.837,0.0995,140.575,0.0774,10,422013
Jumpin’ Jack Flash - Live,Totally Stripped - Paris (Live),20/5/2016,22,0.0174,0.243,0.972,0.0432,0.902,-5.955,0.104,141.685,0.111,10,455680
Show Intro - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,1,0.852,0.172,0.87,0.875,0.708,-18.104,0.0506,128.417,0.0,0,21000
Everybody Needs Somebody To Love - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,2,0.0309,0.409,0.973,0.199,0.295,-5.033,0.126,166.601,0.348,16,35920
Pain In My Heart - Live In Ireland / 1965,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,3,0.187,0.185,0.911,0.883,0.556,-6.811,0.0719,183.61,0.26,14,123506
Down The Road Apiece - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,4,0.391,0.395,0.973,0.217,0.723,-5.088,0.103,93.161,0.299,15,103146
Time Is On My Side - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,5,0.0206,0.329,0.798,0.933,0.694,-4.926,0.0431,97.839,0.311,19,171266
I'm Alright - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,6,0.159,0.446,0.979,0.668,0.833,-6.229,0.113,117.201,0.299,15,135040
Off The Hook - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,7,0.0218,0.444,0.933,0.928,0.916,-5.228,0.0733,76.873,0.533,15,147040
Charlie's Intro To Little Red Rooster - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,8,0.843,0.266,0.961,0.991,0.909,-11.914,0.335,69.859,0.0321,11,32946
Little Red Rooster - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,9,0.00712,0.44,0.918,0.82,0.767,-5.533,0.0788,115.799,0.436,15,155600
Route 66 - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,10,0.019,0.234,0.967,0.322,0.919,-5.615,0.124,166.706,0.633,17,164320
I'm Moving On - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,11,0.00343,0.124,0.917,0.945,0.62,-4.829,0.093,163.352,0.304,11,148560
The Last Time - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,12,0.000267,0.219,0.925,0.428,0.922,-4.903,0.0559,178.251,0.467,18,189600
Everybody Needs Somebody To Love (Finale) - Live,Live 1965: Music From Charlie Is My Darling (Live From England/1965),6/11/2012,13,0.107,0.225,0.977,0.714,0.746,-5.949,0.33,88.765,0.193,14,246000
You’re Gonna Miss Me When I’m Gone - Live,Live At The Checkerboard Lounge,9/7/2012,1,0.0114,0.513,0.881,0.0229,0.967,-6.142,0.0618,110.215,0.737,23,329786
Sweet Little Angel - Live,Live At The Checkerboard Lounge,9/7/2012,2,0.0486,0.313,0.708,5.93e-05,0.652,-5.354,0.0333,170.123,0.688,21,216293
Flip Flop And Fly - Live,Live At The Checkerboard Lounge,9/7/2012,3,0.00743,0.276,0.957,0.0,0.196,-4.688,0.0641,198.193,0.808,18,110253
Introduction - Live,Live At The Checkerboard Lounge,9/7/2012,4,0.0893,0.544,0.904,0.00895,0.398,-7.789,0.138,117.116,0.447,17,102546
You Don't Have To Go - Live,Live At The Checkerboard Lounge,9/7/2012,5,0.218,0.505,0.683,0.0333,0.69,-7.037,0.0298,86.574,0.719,26,339746
Country Boy - Live,Live At The Checkerboard Lounge,9/7/2012,6,0.216,0.381,0.729,0.0685,0.836,-6.82,0.0393,147.649,0.425,18,613906
I’m A King Bee - Live,Live At The Checkerboard Lounge,9/7/2012,7,0.0878,0.523,0.81,0.0549,0.746,-6.851,0.0381,97.498,0.73,18,272533
Trouble No More - Live,Live At The Checkerboard Lounge,9/7/2012,8,0.0882,0.373,0.869,4.76e-05,0.936,-6.411,0.0678,155.344,0.665,18,168120
County Jail - Live,Live At The Checkerboard Lounge,9/7/2012,9,0.225,0.495,0.674,0.00218,0.907,-6.912,0.0268,79.515,0.498,23,293266
Baby Please Don't Go - Live,Live At The Checkerboard Lounge,9/7/2012,10,0.108,0.357,0.876,0.00355,0.949,-6.596,0.11,155.178,0.617,37,660933
Hoochie Coochie Man - Live,Live At The Checkerboard Lounge,9/7/2012,11,0.26,0.354,0.701,5.49e-05,0.753,-6.42,0.0524,181.562,0.661,27,250120
Long Distance Call - Live,Live At The Checkerboard Lounge,9/7/2012,12,0.544,0.362,0.672,3.04e-06,0.886,-7.27,0.0844,166.52,0.663,20,294160
Mannish Boy - Live,Live At The Checkerboard Lounge,9/7/2012,13,0.333,0.33,0.735,0.0,0.554,-6.01,0.114,171.038,0.512,25,625413
Got My Mojo Workin' - Live,Live At The Checkerboard Lounge,9/7/2012,14,0.248,0.512,0.835,1.88e-05,0.663,-5.757,0.135,139.738,0.757,19,198040
Next Time You See Me - Live,Live At The Checkerboard Lounge,9/7/2012,15,0.0785,0.483,0.882,0.0108,0.94,-5.079,0.0891,123.248,0.609,17,649586
One Eyed Woman - Live,Live At The Checkerboard Lounge,9/7/2012,16,0.119,0.364,0.707,0.00432,0.92,-6.841,0.085,171.557,0.612,26,582840
Baby Please Don't Go - Live / Instrumental,Live At The Checkerboard Lounge,9/7/2012,17,0.0969,0.692,0.693,0.0245,0.369,-8.231,0.0764,112.235,0.726,25,120066
Clouds In My Heart - Live,Live At The Checkerboard Lounge,9/7/2012,18,0.321,0.358,0.685,0.0578,0.784,-6.037,0.0376,173.597,0.725,16,382200
Champagne And Reefer - Live,Live At The Checkerboard Lounge,9/7/2012,19,0.427,0.395,0.647,0.0003,0.842,-7.352,0.0549,172.317,0.542,29,353293
Instrumental 1 - Live,Live At The Checkerboard Lounge,9/7/2012,20,0.0957,0.401,0.904,0.255,0.743,-7.721,0.0721,164.776,0.555,15,184333
Instrumental 2 - Live,Live At The Checkerboard Lounge,9/7/2012,21,0.0443,0.517,0.978,0.846,0.882,-7.116,0.13,138.562,0.263,14,263773
Introduction - Live,Live At The Checkerboard Lounge,9/7/2012,1,0.113,0.556,0.899,0.00265,0.414,-7.949,0.137,117.303,0.434,2,104893
You Don't Have To Go - Live,Live At The Checkerboard Lounge,9/7/2012,2,0.213,0.519,0.699,0.0394,0.713,-7.124,0.0339,86.427,0.71,2,343760
Baby Please Don't Go - Live,Live At The Checkerboard Lounge,9/7/2012,3,0.109,0.357,0.872,0.004,0.956,-6.618,0.107,155.333,0.619,2,660933
Hoochie Coochie Man - Live,Live At The Checkerboard Lounge,9/7/2012,4,0.267,0.351,0.704,9.4e-05,0.715,-6.605,0.0616,179.988,0.648,4,258959
Long Distance Call - Live,Live At The Checkerboard Lounge,9/7/2012,5,0.558,0.354,0.679,4.78e-06,0.82,-7.111,0.0611,79.439,0.599,6,289573
Mannish Boy - Live,Live At The Checkerboard Lounge,9/7/2012,6,0.318,0.325,0.727,0.0,0.552,-6.013,0.121,173.241,0.513,1,625480
Got My Mojo Workin' - Live,Live At The Checkerboard Lounge,9/7/2012,7,0.219,0.507,0.856,3.71e-05,0.642,-5.8,0.135,139.831,0.748,2,198040
Next Time You See Me - Live,Live At The Checkerboard Lounge,9/7/2012,8,0.0754,0.484,0.884,0.0126,0.569,-5.162,0.0987,123.344,0.603,0,660320
One Eyed Woman - Live,Live At The Checkerboard Lounge,9/7/2012,9,0.14,0.368,0.695,0.00445,0.836,-6.823,0.0744,168.766,0.607,2,584266
Clouds In My Heart - Live,Live At The Checkerboard Lounge,9/7/2012,10,0.304,0.361,0.689,0.0732,0.738,-6.023,0.0378,172.298,0.721,2,382200
Champagne And Reefer - Live,Live At The Checkerboard Lounge,9/7/2012,11,0.399,0.396,0.731,0.00222,0.116,-7.491,0.0782,171.819,0.617,7,418893
